_id,type,value,unit,location,deviceId,timestamp,receivedAt
6a30ca55ffdab552d5509e00,amplitude,45.58,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:21.455Z,2026-06-16T04:00:21.626Z
6a30ca5affdab552d5509e03,amplitude,45.94,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:26.456Z,2026-06-16T04:00:26.607Z
6a30ca5fffdab552d5509e06,amplitude,47.74,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:31.473Z,2026-06-16T04:00:31.666Z
6a30ca64ffdab552d5509e09,amplitude,59.01,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:36.482Z,2026-06-16T04:00:36.644Z
6a30ca69ffdab552d5509e0c,amplitude,60.68,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:41.491Z,2026-06-16T04:00:41.657Z
6a30ca6effdab552d5509e0f,amplitude,52.44,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:46.507Z,2026-06-16T04:00:46.664Z
6a30ca73ffdab552d5509e12,amplitude,61.11,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:51.508Z,2026-06-16T04:00:51.787Z
6a30ca78ffdab552d5509e15,amplitude,64.26,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:56.519Z,2026-06-16T04:00:56.695Z
6a30ca7dffdab552d5509e18,amplitude,54.22,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:01.526Z,2026-06-16T04:01:01.698Z
6a30ca82ffdab552d5509e1b,amplitude,57.87,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:06.532Z,2026-06-16T04:01:06.696Z
6a30ca87ffdab552d5509e1e,amplitude,48.51,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:11.540Z,2026-06-16T04:01:11.714Z
6a30ca8cffdab552d5509e21,amplitude,62.83,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:16.552Z,2026-06-16T04:01:16.721Z
6a30ca91ffdab552d5509e24,amplitude,51.57,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:21.555Z,2026-06-16T04:01:21.723Z
6a30ca96ffdab552d5509e27,amplitude,48.28,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:26.558Z,2026-06-16T04:01:26.720Z
6a30ca9bffdab552d5509e2a,amplitude,64.53,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:31.612Z,2026-06-16T04:01:31.798Z
6a30caa0ffdab552d5509e2d,amplitude,61.87,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:36.594Z,2026-06-16T04:01:36.778Z
6a30caa5ffdab552d5509e30,amplitude,60.29,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:41.607Z,2026-06-16T04:01:41.892Z
6a30caaaffdab552d5509e33,amplitude,55.31,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:46.602Z,2026-06-16T04:01:46.769Z
6a30caafffdab552d5509e36,amplitude,54.44,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:01:51.608Z,2026-06-16T04:01:51.798Z
